time_ma,co2_ppm
0,301.243
0.001,300.024
0.002,296.896
0.003,294.71
0.004,292.124
0.005,288.921
0.006,284.804
0.007,280.607
0.008,274.834
0.009,264.452
0.01,248.351
0.011,240.597
0.012,233.633
0.013,226.252
0.014,220.56
0.015,215.227
0.016,209.463
0.017,198.63
0.018,186.864
0.019,183.71
0.02,182.796
0.021,182.552
0.022,182.429
0.023,182.113
0.024,181.969
0.025,182.089
0.026,182.586
0.027,181.843
0.028,183.793
0.029,184.998
0.03,186.281
0.031,188.223
0.032,193.774
0.033,201.629
0.034,201.575
0.035,200.579
0.036,196.528
0.037,198.768
0.038,202.725
0.039,208.933
0.04,208.821
0.041,208.321
0.042,209.334
0.043,208.76
0.044,211.457
0.045,213.354
0.046,215.215
0.047,213.035
0.048,212.989
0.049,209.142
0.05,205.375
0.051,211.129
0.052,214.456
0.053,216.129
0.054,219.349
0.055,212.559
0.056,226.081
0.057,229.92
0.058,231.096
0.059,230.309
0.06,221.174
0.061,217.942
0.062,214.331
0.063,213.346
0.064,213.282
0.065,211.209
0.066,208.779
0.067,206.081
0.068,206.772
0.069,204.076
0.07,207.455
0.071,218.313
0.072,217.956
0.073,217.404
0.074,222.223
0.075,222.869
0.076,222.724
0.077,223.178
0.078,223.522
0.079,228.951
0.08,231.096
0.081,232.074
0.082,231.997
0.083,229.657
0.084,227.694
0.085,225.874
0.086,225.612
0.087,222.983
0.088,225.413
0.089,226.269
0.09,228.7
0.091,232.85
0.092,240.433
0.093,236.169
0.094,238.619
0.095,243.908
0.096,258.371
0.097,258.619
0.098,258.379
0.099,257.902
0.1,258.885
0.101,254.314
0.102,252.918
0.103,252.476
0.104,254.738
0.105,250.598
0.106,243.442
0.107,230.773
0.108,231.128
0.109,234.987
0.11,238.812
0.111,244.652
0.112,255.083
0.113,271.384
0.114,275.182
0.115,280.188
0.116,285.921
0.117,291.038
0.118,294.413
0.119,298.043
0.12,300.514
0.121,304.764
0.122,303.335
0.123,301.269
0.124,296.565
0.125,291.389
0.126,282.941
0.127,274.237
0.128,259.04
0.129,245.172
0.13,237.459
0.131,230.058
0.132,221.768
0.133,208.242
0.134,198.096
0.135,195.867
0.136,194.38
0.137,192.781
0.138,189.484
0.139,186.749
0.14,186.033
0.141,183.002
0.142,182.496
0.143,183.047
0.144,186.043
0.145,189.689
0.146,190.398
0.147,190.957
0.148,194.018
0.149,193.495
0.15,195.901
0.151,197.052
0.152,194.955
0.153,191.639
0.154,190.249
0.155,195.881
0.156,195.666
0.157,203.082
0.158,201.526
0.159,201.962
0.16,201.479
0.161,201.054
0.162,198.407
0.163,196.679
0.164,192.037
0.165,195.374
0.166,191.59
0.167,198.057
0.168,198.906
0.169,202.738
0.17,197.576
0.171,198.067
0.172,199.004
0.173,198.754
0.174,202.212
0.175,202.784
0.176,204.532
0.177,204.054
0.178,201.237
0.179,194.29
0.18,193.197
0.181,194.599
0.182,189.909
0.183,190.031
0.184,192.342
0.185,200.731
0.186,214.936
0.187,216.737
0.188,219.767
0.189,223.12
0.19,225.314
0.191,229.303
0.192,233.742
0.193,237.526
0.194,241.197
0.195,244.048
0.196,247.004
0.197,249.511
0.198,251.808
0.199,252.531
0.2,256.072
0.201,258.674
0.202,259.85
0.203,269.103
0.204,263.923
0.205,264.238
0.206,268.938
0.207,268.011
0.208,266.351
0.209,255.017
0.21,254.089
0.211,255.349
0.212,256.15
0.213,254.572
0.214,254.033
0.215,252.864
0.216,248.957
0.217,244.08
0.218,236.648
0.219,228.049
0.22,222.241
0.221,222.068
0.222,219.138
0.223,217.775
0.224,215.538
0.225,221.356
0.226,224.422
0.227,227.288
0.228,231.85
