time_ma,co2_ppm
0,299.39
0.001,298.429
0.002,295.621
0.003,293.734
0.004,291.328
0.005,288.341
0.006,284.517
0.007,280.676
0.008,275.298
0.009,265.314
0.01,249.493
0.011,241.992
0.012,235.299
0.013,228.168
0.014,222.622
0.015,217.418
0.016,211.668
0.017,200.808
0.018,188.925
0.019,185.643
0.02,184.705
0.021,184.436
0.022,184.176
0.023,183.876
0.024,183.735
0.025,183.73
0.026,184.272
0.027,183.353
0.028,185.159
0.029,186.262
0.03,187.727
0.031,189.517
0.032,195.007
0.033,202.857
0.034,202.585
0.035,201.513
0.036,197.403
0.037,199.642
0.038,203.464
0.039,209.547
0.04,209.367
0.041,208.802
0.042,209.718
0.043,209.089
0.044,211.748
0.045,213.648
0.046,215.586
0.047,213.469
0.048,213.339
0.049,209.396
0.05,205.543
0.051,211.257
0.052,214.515
0.053,216.151
0.054,219.365
0.055,212.525
0.056,226.007
0.057,229.895
0.058,231.113
0.059,230.397
0.06,221.265
0.061,218.021
0.062,214.426
0.063,213.399
0.064,213.323
0.065,211.242
0.066,208.769
0.067,206.077
0.068,206.765
0.069,203.957
0.07,207.135
0.071,217.841
0.072,217.411
0.073,216.814
0.074,221.59
0.075,222.21
0.076,222.038
0.077,222.429
0.078,222.636
0.079,228.043
0.08,230.206
0.081,231.29
0.082,231.348
0.083,228.955
0.084,226.941
0.085,225.113
0.086,224.814
0.087,222.097
0.088,224.428
0.089,225.197
0.09,227.449
0.091,231.443
0.092,238.9
0.093,234.552
0.094,236.975
0.095,242.256
0.096,256.702
0.097,257.228
0.098,257.117
0.099,256.536
0.1,257.58
0.101,253.236
0.102,251.91
0.103,251.438
0.104,253.891
0.105,249.793
0.106,242.549
0.107,229.892
0.108,230.235
0.109,233.934
0.11,237.672
0.111,243.464
0.112,253.741
0.113,270.084
0.114,273.872
0.115,279.051
0.116,284.921
0.117,290.187
0.118,293.73
0.119,297.598
0.12,300.379
0.121,304.824
0.122,303.713
0.123,301.874
0.124,297.396
0.125,292.667
0.126,284.627
0.127,276.32
0.128,261.533
0.129,247.834
0.13,240.386
0.131,233.251
0.132,225.07
0.133,211.486
0.134,201.216
0.135,198.942
0.136,197.432
0.137,195.836
0.138,192.528
0.139,189.704
0.14,189.038
0.141,185.898
0.142,185.322
0.143,185.809
0.144,188.82
0.145,192.492
0.146,193.121
0.147,193.659
0.148,196.738
0.149,196.146
0.15,198.565
0.151,199.741
0.152,197.616
0.153,194.214
0.154,192.736
0.155,198.398
0.156,198.041
0.157,205.555
0.158,203.971
0.159,204.376
0.16,203.833
0.161,203.26
0.162,200.63
0.163,198.875
0.164,194.122
0.165,197.477
0.166,193.368
0.167,199.811
0.168,200.593
0.169,204.344
0.17,199.058
0.171,199.439
0.172,200.293
0.173,200.051
0.174,203.597
0.175,204.168
0.176,205.863
0.177,205.227
0.178,202.372
0.179,195.28
0.18,194.131
0.181,195.342
0.182,190.501
0.183,190.458
0.184,192.614
0.185,200.792
0.186,214.76
0.187,216.52
0.188,219.39
0.189,222.756
0.19,224.796
0.191,228.644
0.192,233.051
0.193,236.715
0.194,240.379
0.195,243.149
0.196,246.06
0.197,248.481
0.198,250.741
0.199,251.458
0.2,255.125
0.201,257.735
0.202,258.942
0.203,268.298
0.204,263.256
0.205,263.561
0.206,268.432
0.207,267.542
0.208,266.171
0.209,255.042
0.21,254.368
0.211,255.712
0.212,256.524
0.213,254.899
0.214,254.395
0.215,253.351
0.216,249.582
0.217,244.817
0.218,237.328
0.219,228.903
0.22,222.949
0.221,222.81
0.222,219.886
0.223,218.604
0.224,216.326
0.225,222.034
0.226,224.935
0.227,227.839
0.228,232.348
0.229,237.092
0.23,241.461
0.231,246.049
0.232,248.718
0.233,252.035
0.234,255.206
0.235,258.119
0.236,260.415
0.237,263.614
0.238,265.3
0.239,264.443
0.24,262.878
0.241,256.129
0.242,249.684
0.243,245.234
0.244,239.505
0.245,234.878
0.246,228.259
0.247,223.977
0.248,219.047
0.249,215.043
0.25,210.679
0.251,208.106
0.252,206.602
0.253,204.48
0.254,203.953
0.255,210.262
0.256,215.077
0.257,216.214
0.258,218.189
0.259,219.609
0.26,218.814
0.261,217.347
0.262,217.412
0.263,217.053
0.264,210.13
0.265,197.652
0.266,199.075
0.267,200.258
0.268,200.147
0.269,199.101
0.27,201.048
0.271,200.189
0.272,200.163
0.273,201.635
0.274,204.308
0.275,205.824
0.276,209.07
0.277,210.639
0.278,217.934
0.279,229.226
0.28,240.311
0.281,243.429
0.282,247.042
0.283,246.943
0.284,247.581
0.285,248.035
0.286,247.223
0.287,243.785
0.288,239.709
0.289,235.937
0.29,232.269
0.291,227.63
0.292,225.386
0.293,222.837
0.294,221.206
0.295,220.11
0.296,221.878
0.297,225.772
0.298,228.982
0.299,230.168
0.3,230.537
0.301,232.424
0.302,235.05
0.303,236.337
0.304,238.676
0.305,240.14
0.306,241.468
0.307,242.906
0.308,245.155
0.309,248.581
0.31,247.478
0.311,246.873
0.312,251.2
0.313,260.764
0.314,252.98
0.315,254.996
0.316,258.002
0.317,261.595
0.318,265.499
0.319,273.855
0.32,282.743
0.321,286.831
0.322,284.879
0.323,288.556
0.324,291.438
0.325,294.153
0.326,291.38
0.327,293.448
0.328,294.427
0.329,292.538
0.33,289.175
0.331,283.26
0.332,276.506
0.333,261.254
0.334,253.67
0.335,249.633
0.336,242.819
0.337,235.759
0.338,224.337
0.339,206.87
0.34,199.499
0.341,195.426
0.342,192.718
0.343,190.069
0.344,188.613
0.345,186.789
0.346,186.692
0.347,187.886
0.348,189.409
0.349,191.977
0.35,191.94
0.351,195.722
0.352,199.067
0.353,197.454
0.354,197.594
0.355,197.108
0.356,198.538
0.357,198.654
0.358,199.505
0.359,200.881
0.36,202.38
0.361,201.865
0.362,202.553
0.363,203.711
0.364,206.317
0.365,209.096
0.366,209.798
0.367,210.217
0.368,214.098
0.369,217.087
0.37,217.043
0.371,222.736
0.372,228.07
0.373,228.322
0.374,229.371
0.375,225.888
0.376,222.731
0.377,223.963
0.378,227.401
0.379,230.795
0.38,234.624
0.381,234.454
0.382,233.397
0.383,234.07
0.384,236.287
0.385,235.958
0.386,238.488
0.387,239.666
0.388,240.096
0.389,243.715
0.39,246.562
0.391,251.057
0.392,254.607
0.393,257.214
0.394,260.615
0.395,265.351
0.396,272.564
0.397,284.499
0.398,284.21
0.399,287.953
0.4,290.983
0.401,294.968
0.402,296.838
0.403,303.013
0.404,303.532
0.405,301.828
0.406,300.185
0.407,299.332
0.408,297.707
0.409,296.967
0.41,293.05
0.411,292.206
0.412,291.527
0.413,287.871
0.414,286.844
0.415,285.462
0.416,280.511
0.417,278.873
0.418,278.194
0.419,273.06
0.42,265.964
0.421,253.796
0.422,250.136
0.423,245.402
0.424,240.126
0.425,235.159
0.426,229.835
0.427,223.555
0.428,213.464
0.429,198.121
0.43,192.328
0.431,187.677
0.432,185.558
0.433,183.471
0.434,183.034
0.435,182.421
0.436,180.592
0.437,180.705
0.438,180.704
0.439,182.389
0.44,183.427
0.441,185.998
0.442,188.173
0.443,192.211
0.444,203.265
0.445,207.041
0.446,207.655
0.447,205.292
0.448,207.246
0.449,210.906
0.45,212.399
0.451,210.535
0.452,207.022
0.453,208.87
0.454,208.898
0.455,213.506
0.456,211.674
0.457,212.226
0.458,213.615
0.459,214.446
0.46,215.157
0.461,218.076
0.462,224.861
0.463,225.059
0.464,220.762
0.465,223.061
0.466,225.031
0.467,232.12
0.468,238.404
0.469,238.869
0.47,240.101
0.471,243.406
0.472,242.813
0.473,239.671
0.474,238.84
0.475,236.261
0.476,235.933
0.477,234.806
0.478,236.081
0.479,236.694
0.48,235.668
0.481,237.768
0.482,241.435
0.483,244.93
0.484,246.871
0.485,248.819
0.486,251.736
0.487,255.42
0.488,257.317
0.489,261.155
0.49,264.975
0.491,265.587
0.492,263.393
0.493,264.317
0.494,265.129
0.495,263.842
0.496,263.579
0.497,263.818
0.498,263.679
0.499,262.678
0.5,260.59
0.501,260.247
0.502,260.971
0.503,257.876
0.504,256.553
0.505,258.478
0.506,255.716
0.507,252.744
0.508,250.888
0.509,249.332
0.51,247.43
0.511,246.87
0.512,245.071
0.513,243.083
0.514,242.897
0.515,243.076
0.516,244.218
0.517,245.754
0.518,248.996
0.519,251.163
0.52,254.016
0.521,256.269
0.522,258.347
0.523,261.131
0.524,262.587
0.525,264.516
0.526,262.018
0.527,261.592
0.528,260.622
0.529,252.904
0.53,242.199
0.531,239.987
0.532,234.059
0.533,235.228
0.534,234.424
0.535,233.952
0.536,228.973
0.537,221.573
0.538,221.012
0.539,220.408
0.54,212.651
0.541,209.923
0.542,207.228
0.543,208.141
0.544,204.314
0.545,205.595
0.546,206.105
0.547,209.265
0.548,217.528
0.549,214.59
0.55,216.578
0.551,217.817
0.552,221.774
0.553,222.66
0.554,223.241
0.555,223.618
0.556,223.281
0.557,222.065
0.558,220.059
0.559,221.148
0.56,223.544
0.561,226.966
0.562,233.104
0.563,231.824
0.564,234.682
0.565,236.115
0.566,239.603
0.567,242.867
0.568,244.556
0.569,247.025
0.57,248.943
0.571,248.394
0.572,248.908
0.573,253.498
0.574,256.707
0.575,261.18
0.576,262.863
0.577,263.461
0.578,259.579
0.579,255.943
0.58,247.85
0.581,246.271
0.582,238.204
0.583,233.683
0.584,231.884
0.585,229.647
0.586,224.817
0.587,225.479
0.588,227.048
0.589,227.814
0.59,229.417
0.591,230.301
0.592,232.677
0.593,234.311
0.594,232.69
0.595,232.718
0.596,231.756
0.597,230.487
0.598,225.782
0.599,228.901
0.6,238.837
0.601,240.132
0.602,241.641
0.603,244.765
0.604,247.193
0.605,251.17
0.606,255.803
0.607,259.689
0.608,266.588
0.609,274.592
0.61,275.481
0.611,275.925
0.612,270.549
0.613,265.707
0.614,265.423
0.615,263.967
0.616,260.822
0.617,257.271
0.618,253.056
0.619,246.388
0.62,240.288
0.621,236.275
0.622,230.537
0.623,225.268
0.624,219.333
0.625,212.803
0.626,201.053
0.627,196.102
0.628,192.017
0.629,189.084
0.63,187.831
0.631,185.308
0.632,185.247
0.633,185.337
0.634,184.988
0.635,184.394
0.636,184.105
0.637,184.063
0.638,184.386
0.639,184.255
0.64,184.2
0.641,183.971
0.642,184.579
0.643,186.819
0.644,193.428
0.645,195.217
0.646,194.527
0.647,194.181
0.648,195.129
0.649,194.496
0.65,192.139
0.651,192.476
0.652,190.216
0.653,187.354
0.654,188.698
0.655,189.972
0.656,192.609
0.657,192.271
0.658,194.16
0.659,191.63
0.66,188.438
0.661,189.615
0.662,192.193
0.663,189.479
0.664,194.118
0.665,190.684
0.666,191.224
0.667,191.58
0.668,192.084
0.669,195.643
0.67,203.112
0.671,204.516
0.672,206.518
0.673,206.744
0.674,209.64
0.675,211.681
0.676,213.956
0.677,214.878
0.678,215.58
0.679,216.118
0.68,216.663
0.681,217.149
0.682,220.394
0.683,221.681
0.684,223.995
0.685,224.741
0.686,233.221
0.687,237.709
0.688,240.188
0.689,245.907
0.69,249.892
0.691,251.66
0.692,254.115
0.693,257.418
0.694,258.606
0.695,262.17
0.696,266.732
0.697,274.591
0.698,285.905
0.699,284.168
0.7,283.207
0.701,280.411
0.702,277.506
0.703,274.554
0.704,272.073
0.705,268.307
0.706,263.792
0.707,254.385
0.708,240.663
0.709,236.971
0.71,233.125
0.711,229.81
0.712,225.931
0.713,220.832
0.714,216.9
0.715,210.211
0.716,200.948
0.717,195.031
0.718,192.283
0.719,190.506
0.72,189.96
0.721,190.001
0.722,190.903
0.723,195.29
0.724,201.731
0.725,210.811
0.726,213.3
0.727,221.192
0.728,228.639
0.729,231.085
0.73,233.605
0.731,235.353
0.732,236.795
0.733,236.946
0.734,235.737
0.735,234.78
0.736,231.361
0.737,228.086
0.738,219.311
0.739,212.373
0.74,205.143
0.741,202.11
0.742,199.578
0.743,197.312
0.744,194.95
0.745,192.486
0.746,191.327
0.747,191.244
0.748,192.442
0.749,193.467
0.75,197.324
0.751,197.636
0.752,199.981
0.753,200.057
0.754,202.284
0.755,204.544
0.756,207.477
0.757,210.035
0.758,211.468
0.759,212.03
0.76,214.119
0.761,215.268
0.762,218.119
0.763,222.394
0.764,223.899
0.765,219.947
0.766,222.32
0.767,224.749
0.768,225.879
0.769,230.321
0.77,235.66
0.771,239.059
0.772,246.444
0.773,250.295
0.774,251.803
0.775,253.924
0.776,256.495
0.777,260.762
0.778,260.971
0.779,258.837
0.78,259.866
0.781,265.126
0.782,267.878
0.783,267.006
0.784,264.562
0.785,263.131
0.786,259.203
0.787,255.412
0.788,248.114
0.789,242.809
0.79,238.555
0.791,234.387
0.792,228.475
0.793,225.69
0.794,223.496
0.795,218.092
0.796,208.13
