time_ma,co2_ppm
0,322.898
0.001,323.678
0.002,322.27
0.003,316.17
0.004,309.476
0.005,294.836
0.006,290.664
0.007,287.494
0.008,286.028
0.009,275.278
0.01,262.599
0.011,247.852
0.012,234.712
0.013,237.761
0.014,237.701
0.015,232.095
0.016,225.052
0.017,209.859
0.018,193.617
0.019,192.134
0.02,191.787
0.021,191.808
0.022,191.875
0.023,192.081
0.024,192.35
0.025,192.598
0.026,192.985
0.027,193.73
0.028,194.596
0.029,195.196
0.03,196.117
0.031,197.482
0.032,202.29
0.033,209.519
0.034,208.752
0.035,207.936
0.036,203.689
0.037,204.759
0.038,207.914
0.039,211.425
0.04,208.735
0.041,206.454
0.042,206.901
0.043,208.425
0.044,213.928
0.045,218.162
0.046,220.886
0.047,218.93
0.048,218.547
0.049,212.43
0.05,208.054
0.051,213.94
0.052,215.903
0.053,215.6
0.054,216.506
0.055,207.895
0.056,219.432
0.057,219.928
0.058,216.264
0.059,211.643
0.06,196.293
0.061,194.171
0.062,192.788
0.063,192.909
0.064,193.22
0.065,192.806
0.066,192.774
0.067,192.445
0.068,194.193
0.069,194.692
0.07,201.295
0.071,217.269
0.072,220.092
0.073,224.147
0.074,232.307
0.075,234.011
0.076,234.495
0.077,234.472
0.078,234.066
0.079,240.708
0.08,246.014
0.081,252.465
0.082,256.616
0.083,254.41
0.084,249.486
0.085,241.779
0.086,234.688
0.087,228.384
0.088,226.803
0.089,227.835
0.09,230.398
0.091,236.281
0.092,241.122
0.093,246.594
0.094,251.976
0.095,255.34
0.096,256.561
0.097,255.952
0.098,254.469
0.099,252.052
0.1,249.733
0.101,246.592
0.102,243.82
0.103,242.924
0.104,241.715
0.105,236.09
0.106,230.618
0.107,225.144
0.108,220.627
0.109,219.166
0.11,219.194
0.111,222.412
0.112,228.758
0.113,232.791
0.114,238.558
0.115,247.591
0.116,258.367
0.117,269.484
0.118,280.372
0.119,290.246
0.12,299.884
0.121,308.57
0.122,322.818
0.123,325.429
0.124,325.04
0.125,316.853
0.126,307.992
0.127,285.912
0.128,271.368
0.129,254.606
0.13,239.917
0.131,245.451
0.132,246.224
0.133,234.533
0.134,224.815
0.135,216.688
0.136,210.415
0.137,207.44
0.138,202.113
0.139,198.904
0.14,196.985
0.141,194.487
0.142,194.042
0.143,195.253
0.144,200.426
0.145,203.432
0.146,203.587
0.147,203.284
0.148,205.982
0.149,204.214
0.15,205.267
0.151,207.42
0.152,205.467
0.153,201.955
0.154,201.599
0.155,206.53
0.156,204.518
0.157,208.79
0.158,206.12
0.159,206.217
0.16,206.233
0.161,204.156
0.162,201.863
0.163,199.27
0.164,194.404
0.165,200.493
0.166,198.038
0.167,205.455
0.168,204.851
0.169,203.993
0.17,196.743
0.171,197.784
0.172,199.559
0.173,202.119
0.174,207.987
0.175,209.87
0.176,211.276
0.177,208.005
0.178,203.498
0.179,196.373
0.18,195.31
0.181,198.434
0.182,193.802
0.183,192.575
0.184,191.938
0.185,198.699
0.186,213.803
0.187,214.513
0.188,215.942
0.189,217.656
0.19,219.207
0.191,224.665
0.192,231.816
0.193,237.197
0.194,242.372
0.195,242.649
0.196,244.112
0.197,248.472
0.198,253.169
0.199,258.462
0.2,262.952
0.201,262.821
0.202,260.126
0.203,253.994
0.204,248.421
0.205,245.422
0.206,244.285
