time_ma,co2_ppm
0,295.898
0.001,294.991
0.002,294.046
0.003,293.264
0.004,293.072
0.005,292.039
0.006,290.639
0.007,288.471
0.008,287.618
0.009,278.085
0.01,266.273
0.011,250.9
0.012,232.187
0.013,223.563
0.014,213.713
0.015,208.478
0.016,208.545
0.017,202.324
0.018,193.616
0.019,193.45
0.02,193.841
0.021,194.209
0.022,194.545
0.023,194.63
0.024,194.848
0.025,195.005
0.026,195.134
0.027,195.541
0.028,196.765
0.029,198.029
0.03,199.47
0.031,201.035
0.032,205.396
0.033,212.18
0.034,210.861
0.035,208.742
0.036,203.78
0.037,204.838
0.038,208.675
0.039,214.674
0.04,214.572
0.041,214.529
0.042,216.11
0.043,215.791
0.044,219.48
0.045,222.628
0.046,224.471
0.047,222.46
0.048,221.823
0.049,215.269
0.05,210.125
0.051,214.336
0.052,215.211
0.053,215.145
0.054,215.92
0.055,207.284
0.056,218.544
0.057,218.671
0.058,215.58
0.059,213.822
0.06,201.505
0.061,200.85
0.062,200.981
0.063,202.457
0.064,204.392
0.065,205.769
0.066,207.901
0.067,210.751
0.068,215.098
0.069,217.06
0.07,224.106
0.071,238.118
0.072,239.929
0.073,241.348
0.074,246.775
0.075,247.187
0.076,247.327
0.077,248.946
0.078,249.126
0.079,253.137
0.08,255.12
0.081,255.933
0.082,255.828
0.083,253.356
0.084,249.795
0.085,248.136
0.086,246.698
0.087,245.555
0.088,247.794
0.089,249.028
0.09,250.826
0.091,253.528
0.092,254.792
0.093,254.876
0.094,255.4
0.095,255.739
0.096,254.814
0.097,253.771
0.098,252.264
0.099,251.458
0.1,251.065
0.101,249.142
0.102,247.447
0.103,247.588
0.104,247.61
0.105,244.83
0.106,242.506
0.107,241.493
0.108,241.339
0.109,243.68
0.11,246.513
0.111,250.235
0.112,256.23
0.113,259.138
0.114,262.542
0.115,266.281
0.116,270.732
0.117,273.62
0.118,279.039
0.119,290.64
0.12,293.108
0.121,294.985
0.122,297.359
0.123,299.022
0.124,299.102
0.125,295.893
0.126,292.938
0.127,284.548
0.128,274.923
0.129,264.01
0.13,244.125
0.131,235.319
0.132,226.358
0.133,212.704
0.134,207.245
0.135,206.767
0.136,206.595
0.137,206.226
0.138,203.285
0.139,200.58
0.14,199.165
0.141,195.929
0.142,194.729
0.143,194.817
0.144,197.435
0.145,200.522
0.146,200.574
0.147,200.232
0.148,202.681
0.149,200.205
0.15,200.244
0.151,200.98
0.152,198.286
0.153,194.6
0.154,193.432
0.155,198.835
0.156,198.124
0.157,204.479
0.158,203.464
0.159,203.36
0.16,204.109
0.161,204.824
0.162,205.054
0.163,204.096
0.164,200.034
0.165,204.54
0.166,201.087
0.167,207.567
0.168,207.213
0.169,209.114
0.17,203.976
0.171,203.791
0.172,203.844
0.173,203.37
0.174,206.429
0.175,206.56
0.176,206.83
0.177,203.635
0.178,199.965
0.179,194.964
0.18,195.728
0.181,201.019
0.182,200.022
0.183,204.006
0.184,209.701
0.185,222.503
0.186,240.123
0.187,243.609
0.188,247.119
0.189,249.703
0.19,251.364
0.191,253.422
0.192,256.906
0.193,259.309
0.194,262.813
0.195,264.662
0.196,266.84
0.197,272.39
0.198,278.746
0.199,278.428
0.2,278.549
0.201,277.012
0.202,273.84
0.203,262.722
0.204,262.513
0.205,263.649
0.206,264.845
0.207,266.495
0.208,269.735
0.209,270.688
0.21,271.098
0.211,270.888
0.212,273.028
0.213,276.428
0.214,283.274
0.215,279.552
0.216,273.002
0.217,265.967
0.218,254.662
0.219,232.768
0.22,224.718
0.221,223.943
0.222,221.347
0.223,222.125
0.224,224.365
0.225,232.551
0.226,237.918
0.227,241.779
0.228,245.431
0.229,248.764
0.23,252.791
0.231,256.11
0.232,259.162
0.233,262.034
0.234,266.186
0.235,270.875
0.236,278.038
0.237,289.241
0.238,290.217
0.239,286.793
0.24,282.361
0.241,274.868
0.242,263.756
0.243,249.462
0.244,242.581
0.245,236.75
0.246,230.358
0.247,226.541
0.248,222.948
0.249,219.891
0.25,216.838
0.251,216.476
0.252,214.147
0.253,212.088
0.254,211.666
0.255,217.692
0.256,222.398
0.257,223.148
0.258,223.758
0.259,224.028
0.26,223.803
0.261,222.508
0.262,221.786
0.263,219.202
0.264,211.708
0.265,199.699
0.266,199.49
0.267,199.612
0.268,199.77
0.269,200.463
0.27,201.041
0.271,202.47
0.272,203.96
0.273,205.995
0.274,208.26
0.275,211.863
0.276,215.651
0.277,216.923
0.278,223.725
0.279,235.515
0.28,249.597
0.281,251.69
0.282,253.585
0.283,254.547
0.284,255.568
0.285,253.427
0.286,250.695
0.287,247.266
0.288,242.252
0.289,238.556
0.29,234.502
0.291,230.128
0.292,227.658
0.293,226.998
0.294,226.278
0.295,228.042
0.296,230.481
0.297,234.48
0.298,238.004
0.299,239.514
0.3,240.418
0.301,242.378
0.302,244.378
0.303,246.838
0.304,249.751
0.305,251.97
0.306,254.278
0.307,256.353
0.308,258.85
0.309,260.721
0.31,262.731
0.311,262.674
0.312,263.322
0.313,264.198
0.314,264.509
0.315,265.422
0.316,266.435
0.317,266.846
0.318,267.932
0.319,269.99
0.32,272.752
0.321,275.301
0.322,278.66
0.323,286.615
0.324,290.88
0.325,291.382
0.326,291.848
0.327,292.311
0.328,292.868
0.329,291.554
0.33,290.233
0.331,286.52
0.332,283.101
0.333,274.819
0.334,263.462
0.335,248.183
0.336,234.621
0.337,227.592
0.338,214.652
0.339,194.955
0.34,191.416
0.341,191.539
0.342,191.42
0.343,191.803
0.344,192.122
0.345,192.6
