time_ma,co2_ppm
0,289.257
0.001,288.474
0.002,287.496
0.003,286.748
0.004,286.692
0.005,285.66
0.006,284.342
0.007,282.231
0.008,281.453
0.009,272.145
0.01,260.595
0.011,245.536
0.012,227.187
0.013,218.76
0.014,209.086
0.015,203.934
0.016,203.966
0.017,197.839
0.018,189.326
0.019,189.132
0.02,189.499
0.021,189.835
0.022,190.213
0.023,190.333
0.024,190.524
0.025,190.737
0.026,190.859
0.027,191.31
0.028,192.528
0.029,193.708
0.03,195.222
0.031,196.746
0.032,201.095
0.033,207.8
0.034,206.532
0.035,204.478
0.036,199.608
0.037,200.649
0.038,204.31
0.039,210.357
0.04,210.289
0.041,210.252
0.042,211.742
0.043,211.494
0.044,215.15
0.045,218.282
0.046,220.153
0.047,218.268
0.048,217.588
0.049,211.138
0.05,206.098
0.051,210.282
0.052,211.237
0.053,211.161
0.054,211.908
0.055,203.428
0.056,214.618
0.057,214.758
0.058,211.725
0.059,210.011
0.06,197.887
0.061,197.26
0.062,197.384
0.063,198.883
0.064,200.811
0.065,202.129
0.066,204.316
0.067,207.139
0.068,211.434
0.069,213.395
0.07,220.361
0.071,234.212
0.072,236.012
0.073,237.393
0.074,242.835
0.075,243.278
0.076,243.428
0.077,245.055
0.078,245.265
0.079,249.26
0.08,251.214
0.081,252.004
0.082,251.907
0.083,249.547
0.084,246.039
0.085,244.428
0.086,243.034
0.087,241.907
0.088,244.058
0.089,245.34
0.09,247.138
0.091,249.835
0.092,251.093
0.093,251.177
0.094,251.715
0.095,252.123
0.096,251.291
0.097,250.224
0.098,248.752
0.099,248.085
0.1,247.679
0.101,245.754
0.102,244.116
0.103,244.366
0.104,244.359
0.105,241.621
0.106,239.345
0.107,238.362
0.108,238.223
0.109,240.502
0.11,243.346
0.111,247.031
0.112,253.005
0.113,255.856
0.114,259.238
0.115,263.005
0.116,267.408
0.117,270.298
0.118,275.693
0.119,287.234
0.12,289.718
0.121,291.617
0.122,294.015
0.123,295.748
0.124,295.868
0.125,292.746
0.126,289.854
0.127,281.575
0.128,272.054
0.129,261.275
0.13,241.582
0.131,232.875
0.132,224.013
0.133,210.521
0.134,205.072
0.135,204.622
0.136,204.494
0.137,204.121
0.138,201.254
0.139,198.571
0.14,197.217
0.141,194.013
0.142,192.842
0.143,192.94
0.144,195.577
0.145,198.655
0.146,198.751
0.147,198.443
0.148,200.906
0.149,198.477
0.15,198.525
0.151,199.256
0.152,196.621
0.153,192.976
0.154,191.882
0.155,197.291
0.156,196.619
0.157,202.969
0.158,202
0.159,201.937
0.16,202.727
0.161,203.48
0.162,203.725
0.163,202.671
0.164,198.328
0.165,202.829
0.166,199.522
0.167,206.016
0.168,205.698
0.169,207.621
0.17,202.544
0.171,202.389
0.172,202.435
0.173,201.914
0.174,204.873
0.175,205.087
0.176,205.353
0.177,202.155
0.178,198.52
0.179,193.564
0.18,194.342
0.181,199.626
0.182,198.857
0.183,202.848
0.184,208.531
0.185,221.316
0.186,238.886
0.187,242.377
0.188,245.889
0.189,248.491
0.19,250.177
0.191,252.251
0.192,255.756
0.193,258.213
0.194,261.696
0.195,263.548
0.196,265.746
0.197,271.306
0.198,277.654
0.199,277.429
0.2,277.564
0.201,276.055
0.202,272.916
0.203,261.853
0.204,261.61
0.205,262.819
0.206,264.05
0.207,265.736
0.208,268.967
0.209,269.875
0.21,270.21
0.211,270.029
0.212,272.192
0.213,275.608
0.214,282.433
0.215,278.673
0.216,272.187
0.217,265.177
0.218,254.105
0.219,232.369
0.22,224.324
0.221,223.572
0.222,221
0.223,221.753
0.224,224.032
0.225,232.229
0.226,237.634
0.227,241.453
0.228,245.166
0.229,248.513
0.23,252.572
0.231,255.901
0.232,258.951
0.233,261.84
0.234,266.009
0.235,270.733
0.236,277.909
0.237,289.158
0.238,290.163
0.239,286.801
0.24,282.38
0.241,274.875
0.242,263.885
0.243,249.627
0.244,242.762
0.245,236.942
0.246,230.582
0.247,226.792
0.248,223.222
0.249,220.168
0.25,217.196
0.251,216.834
0.252,214.537
0.253,212.508
0.254,212.095
0.255,218.185
0.256,222.953
0.257,223.709
0.258,224.316
0.259,224.572
0.26,224.307
0.261,222.952
0.262,222.271
0.263,219.707
0.264,212.35
0.265,200.387
0.266,200.175
0.267,200.289
0.268,200.335
0.269,200.997
0.27,201.737
0.271,203.199
0.272,204.689
0.273,206.792
0.274,209.07
0.275,212.643
0.276,216.519
0.277,217.836
0.278,224.688
0.279,236.537
0.28,250.701
0.281,252.824
0.282,254.757
0.283,255.757
0.284,256.858
0.285,254.727
0.286,252.005
0.287,248.59
0.288,243.597
0.289,239.873
0.29,235.862
0.291,231.47
0.292,229.01
0.293,228.368
0.294,227.661
0.295,229.443
0.296,231.938
0.297,235.937
0.298,239.543
0.299,241.087
0.3,242.015
0.301,244.022
0.302,245.999
0.303,248.554
0.304,251.48
0.305,253.769
0.306,256.133
0.307,258.242
0.308,260.755
0.309,262.708
0.31,264.766
0.311,264.739
0.312,265.421
0.313,266.334
0.314,266.682
0.315,267.619
0.316,268.598
0.317,269.126
0.318,270.248
0.319,272.277
0.32,275.075
0.321,277.632
0.322,281.053
0.323,289.084
0.324,293.318
0.325,293.84
0.326,294.511
0.327,294.972
0.328,295.437
0.329,294.215
0.33,292.875
0.331,289.129
0.332,285.698
0.333,277.34
0.334,265.88
0.335,250.465
0.336,236.792
0.337,229.747
0.338,216.758
0.339,196.933
0.34,193.397
0.341,193.499
0.342,193.482
0.343,193.976
0.344,194.363
0.345,194.825
0.346,196.18
0.347,196.861
0.348,197.829
0.349,199.932
0.35,199.022
0.351,203.066
0.352,205.361
0.353,200.651
0.354,199.723
0.355,199.037
0.356,198.66
0.357,198.959
0.358,199.274
0.359,200.061
0.36,200.848
0.361,201.956
0.362,203.168
0.363,204.402
0.364,205.987
0.365,207.9
0.366,209.622
0.367,208.789
0.368,210.529
0.369,211.872
0.37,212.358
0.371,219.088
0.372,223.574
0.373,224.612
0.374,225.213
0.375,223.138
0.376,219.303
0.377,222.375
0.378,228.033
0.379,230.54
0.38,234.003
0.381,235.558
0.382,237.771
0.383,238.638
0.384,239.348
0.385,241.731
0.386,243.918
0.387,244.411
0.388,244.689
0.389,248.051
0.39,250.291
0.391,253.209
0.392,256.631
0.393,259.978
0.394,263.991
0.395,268.127
0.396,272.553
0.397,276.343
0.398,280.897
0.399,287.882
0.4,295.683
0.401,297.927
0.402,300.001
0.403,302.395
0.404,303.606
0.405,303.657
0.406,303.726
0.407,303.204
0.408,302.673
0.409,301.71
0.41,300.73
0.411,298.74
0.412,296.507
0.413,293.872
0.414,290.784
0.415,285.726
0.416,277.008
0.417,267.382
0.418,264.454
0.419,261.468
0.42,259.935
0.421,254.157
0.422,247.036
0.423,240.781
0.424,231.548
0.425,223.578
0.426,214.758
0.427,210.114
0.428,204.69
0.429,194.364
0.43,194.313
0.431,194.612
0.432,194.889
0.433,194.942
0.434,194.83
0.435,194.512
0.436,194.147
0.437,193.871
0.438,193.592
0.439,193.485
0.44,193.454
0.441,193.653
0.442,193.973
0.443,195.637
0.444,205.078
0.445,206.347
0.446,204.214
0.447,199.87
0.448,200.387
0.449,201.361
0.45,201.697
0.451,199.291
0.452,194.883
0.453,195.207
0.454,196.039
0.455,199.424
0.456,196.161
0.457,196.103
0.458,196.612
0.459,197.431
0.46,198.419
0.461,200.544
0.462,208.21
0.463,208.576
0.464,201.997
0.465,204.052
0.466,206.961
0.467,214.393
0.468,223.601
0.469,225.958
0.47,229.058
0.471,234.767
0.472,236.616
0.473,238.932
0.474,241.562
0.475,243.921
0.476,247.479
0.477,250.433
0.478,254.504
0.479,257.549
0.48,260.997
0.481,264.67
0.482,269.271
0.483,272.578
0.484,276.897
0.485,285.696
0.486,289.903
0.487,289.615
0.488,289.487
0.489,287.511
0.49,284.388
0.491,271.518
0.492,268.803
0.493,267.479
0.494,266.094
0.495,265.984
0.496,266.154
0.497,266.528
0.498,267.265
0.499,266.661
0.5,266.047
0.501,263.431
0.502,262.758
0.503,258.46
0.504,256.27
0.505,254.255
0.506,250.381
0.507,249.083
0.508,247.325
0.509,246.559
0.51,245.084
0.511,245.791
0.512,246.018
0.513,246.937
0.514,248.009
0.515,249.561
0.516,251.284
0.517,253.073
0.518,255.272
0.519,256.599
0.52,258.224
0.521,259.236
0.522,260.605
0.523,261.309
0.524,261.561
0.525,260.837
0.526,260.099
0.527,256.972
0.528,256.674
0.529,246.308
0.53,232.895
0.531,229.512
0.532,219.99
0.533,218.708
0.534,215.299
0.535,213.588
0.536,206.639
0.537,201.721
0.538,203.754
0.539,205.466
0.54,201.401
0.541,201.36
0.542,201.22
0.543,200.891
0.544,200.53
0.545,200.977
0.546,202.179
0.547,209.214
0.548,219.055
0.549,219.419
0.55,222.604
0.551,227.164
0.552,232.903
0.553,233.837
0.554,235.69
0.555,235.936
0.556,234.957
0.557,234.501
0.558,233.829
0.559,235.974
0.56,238.689
0.561,242.725
0.562,249.285
0.563,251.284
0.564,254.145
0.565,254.839
0.566,256.769
0.567,259.285
0.568,261.729
0.569,264.725
0.57,267.572
0.571,268.49
0.572,273.4
0.573,286.855
0.574,289.077
0.575,290.691
0.576,287.672
0.577,284.978
0.578,277.683
0.579,272.049
0.58,259.789
0.581,245.706
0.582,235.731
0.583,233.416
0.584,234.981
0.585,237.315
0.586,236.888
