time_ma,co2_ppm
0,304.096
0.001,304.919
0.002,303.816
0.003,298.03
0.004,292.196
0.005,279.543
0.006,276.598
0.007,273.886
0.008,272.74
0.009,262.673
0.01,251.168
0.011,238.381
0.012,224.053
0.013,217.48
0.014,208.702
0.015,201.496
0.016,199.599
0.017,191.746
0.018,182.183
0.019,181.479
0.02,181.225
0.021,181.412
0.022,181.72
0.023,181.979
0.024,182.474
0.025,182.76
0.026,183.088
0.027,183.854
0.028,185.403
0.029,186.745
0.03,188.24
0.031,189.833
0.032,194.258
0.033,201.111
0.034,200.079
0.035,198.342
0.036,193.805
0.037,194.878
0.038,198.517
0.039,204.149
0.04,203.847
0.041,203.723
0.042,204.919
0.043,204.738
0.044,208.407
0.045,211.649
0.046,213.87
0.047,211.895
0.048,211.168
0.049,204.954
0.05,200.092
0.051,204.56
0.052,205.903
0.053,205.705
0.054,206.527
0.055,198.186
0.056,209.125
0.057,209.144
0.058,206.069
0.059,204.146
0.06,192.01
0.061,191.33
0.062,191.365
0.063,192.821
0.064,194.668
0.065,195.902
0.066,198.026
0.067,200.53
0.068,204.512
0.069,206.341
0.07,212.881
0.071,226.716
0.072,228.724
0.073,230.699
0.074,236.812
0.075,237.894
0.076,238.371
0.077,239.471
0.078,239.403
0.079,243.907
0.08,246.626
0.081,249.407
0.082,250.915
0.083,248.398
0.084,244.602
0.085,241.069
0.086,238.103
0.087,235.92
0.088,237.149
0.089,238.271
0.09,240.015
0.091,243.477
0.092,245.55
0.093,247.404
0.094,249.868
0.095,251.401
0.096,251.148
0.097,250.266
0.098,248.807
0.099,247.228
0.1,246.142
0.101,243.772
0.102,241.62
0.103,241.457
0.104,241.424
0.105,238.187
0.106,235.318
0.107,233.426
0.108,232.434
0.109,234.097
0.11,236.597
0.111,240.224
0.112,246.221
0.113,249.3
0.114,253.251
0.115,258.371
0.116,264.219
0.117,268.934
0.118,274.98
0.119,281.069
0.12,287.682
0.121,294.601
0.122,307.503
0.123,311.308
0.124,311.502
0.125,303.314
0.126,294.812
0.127,274.926
0.128,263.093
0.129,249.914
0.13,235.478
0.131,232.325
0.132,225.17
0.133,209.385
0.134,201.662
0.135,198.978
0.136,197.335
0.137,196.407
0.138,193.022
0.139,190.218
0.14,188.983
0.141,186.051
0.142,185.154
0.143,185.646
0.144,188.925
0.145,192.314
0.146,192.571
0.147,192.52
0.148,195.168
0.149,193.008
0.15,193.037
0.151,193.814
0.152,191.392
0.153,187.768
