time_ma,co2_ppm
0,275.033
0.001,274.526
0.002,273.862
0.003,273.417
0.004,273.44
0.005,272.767
0.006,271.792
0.007,270.077
0.008,269.689
0.009,261.156
0.01,250.517
0.011,236.375
0.012,218.969
0.013,210.84
0.014,201.373
0.015,196.268
0.016,196.239
0.017,190.274
0.018,181.915
0.019,181.679
0.02,181.995
0.021,182.275
0.022,182.529
0.023,182.566
0.024,182.736
0.025,182.866
0.026,182.909
0.027,183.273
0.028,184.475
0.029,185.559
0.03,186.789
0.031,188.112
0.032,192.2
0.033,198.682
0.034,197.437
0.035,195.418
0.036,190.608
0.037,191.517
0.038,194.977
0.039,200.653
0.04,200.511
0.041,200.462
0.042,201.806
0.043,201.457
0.044,204.916
0.045,208.026
0.046,209.888
0.047,207.875
0.048,207.165
0.049,201.068
0.05,196.226
0.051,200.323
0.052,201.144
0.053,200.876
0.054,201.714
0.055,193.447
0.056,204.092
0.057,204.341
0.058,201.524
0.059,199.786
0.06,188.048
0.061,187.29
0.062,187.375
0.063,188.554
0.064,190.218
0.065,191.262
0.066,193.13
0.067,195.613
0.068,199.476
0.069,201.115
0.07,207.579
0.071,220.658
0.072,222.295
0.073,223.605
0.074,228.592
0.075,228.989
0.076,229.182
0.077,230.596
0.078,230.787
0.079,234.59
0.08,236.359
0.081,237.191
0.082,237.401
0.083,235.083
0.084,231.931
0.085,230.385
0.086,229.033
0.087,227.999
0.088,229.909
0.089,230.994
0.09,232.625
0.091,235.183
0.092,236.39
0.093,236.662
0.094,237.452
0.095,238.058
0.096,237.077
0.097,236.102
0.098,235.015
0.099,234.332
0.1,233.765
0.101,232.005
0.102,230.698
0.103,230.907
0.104,230.817
0.105,228.373
0.106,226.268
0.107,225.274
0.108,225.235
0.109,227.293
0.11,230.045
0.111,233.469
0.112,239.023
0.113,241.883
0.114,245.117
0.115,248.848
0.116,253.215
0.117,256.061
0.118,261.213
0.119,272.413
0.12,274.989
0.121,277.042
0.122,279.587
0.123,281.441
0.124,281.8
0.125,279.142
0.126,276.762
0.127,269.217
0.128,260.451
0.129,250.567
0.13,232.147
0.131,223.869
0.132,215.351
0.133,202.168
0.134,196.671
0.135,196.118
0.136,195.96
0.137,195.589
0.138,192.745
0.139,190.108
0.14,188.781
0.141,185.639
0.142,184.471
0.143,184.583
0.144,187.075
0.145,190.067
0.146,190.092
0.147,189.747
0.148,192.11
0.149,189.71
0.15,189.701
0.151,190.378
0.152,187.758
0.153,184.104
0.154,182.939
0.155,188.105
0.156,187.356
0.157,193.398
0.158,192.392
0.159,192.247
0.16,192.943
0.161,193.618
0.162,193.865
0.163,192.845
0.164,188.647
0.165,192.94
0.166,189.548
0.167,195.608
0.168,195.226
0.169,197.025
0.17,192.088
0.171,191.862
0.172,191.818
0.173,191.256
0.174,194.101
0.175,194.272
0.176,194.502
0.177,191.372
0.178,187.904
0.179,182.972
0.18,183.542
0.181,188.316
0.182,187.011
0.183,190.584
0.184,195.701
0.185,207.543
0.186,224.116
0.187,227.273
0.188,230.493
0.189,232.878
0.19,234.402
0.191,236.304
0.192,239.54
0.193,241.78
0.194,245.16
0.195,246.925
0.196,248.96
0.197,254.222
0.198,260.475
0.199,260.297
0.2,260.502
0.201,259.29
0.202,256.433
0.203,245.917
0.204,245.792
0.205,246.716
0.206,247.836
0.207,249.585
0.208,252.624
0.209,253.523
0.21,254.164
0.211,254.184
0.212,256.388
0.213,259.722
0.214,266.52
0.215,263.211
0.216,257.285
0.217,250.875
0.218,240.479
0.219,219.775
0.22,212.047
0.221,211.287
0.222,208.836
0.223,209.334
0.224,211.326
0.225,219.094
0.226,224.137
0.227,227.805
0.228,231.261
0.229,234.422
0.23,238.206
0.231,241.42
0.232,244.203
0.233,246.941
0.234,250.925
0.235,255.478
0.236,262.349
0.237,273.319
0.238,274.588
0.239,271.651
0.24,267.738
0.241,260.916
0.242,250.721
0.243,237.142
