time_ma,co2_ppm
0,271.562
0.001,272.898
0.002,272.896
0.003,268.024
0.004,263.036
0.005,251.653
0.006,249.201
0.007,247.056
0.008,246.42
0.009,237.603
0.01,227.553
0.011,216.258
0.012,203.443
0.013,197.453
0.014,189.519
0.015,182.803
0.016,180.985
0.017,173.659
0.018,164.639
0.019,163.817
0.02,163.454
0.021,163.531
0.022,163.661
0.023,163.948
0.024,164.277
0.025,164.542
0.026,164.768
0.027,165.358
0.028,166.661
0.029,167.864
0.03,169.019
0.031,170.426
0.032,174.298
0.033,180.632
0.034,179.649
0.035,178.042
0.036,173.845
0.037,174.7
0.038,177.993
0.039,183.152
0.04,182.784
0.041,182.531
0.042,183.419
0.043,183.215
0.044,186.496
0.045,189.521
0.046,191.545
0.047,189.656
0.048,189.027
0.049,183.323
0.05,178.831
0.051,183.004
0.052,184.197
0.053,183.911
0.054,184.706
0.055,176.955
0.056,186.995
0.057,187.151
0.058,184.471
0.059,182.717
0.06,171.431
0.061,170.646
0.062,170.533
0.063,171.583
0.064,173.052
0.065,174.055
0.066,175.654
0.067,177.717
0.068,181.033
0.069,182.404
0.07,188.006
0.071,200.541
0.072,202.212
0.073,203.948
0.074,209.498
0.075,210.34
0.076,210.836
0.077,211.832
0.078,211.582
0.079,215.612
0.08,218.034
0.081,220.581
0.082,222.157
0.083,220.153
0.084,217.012
0.085,213.811
0.086,211.114
0.087,209.001
0.088,209.807
0.089,210.862
0.09,212.357
0.091,215.461
0.092,217.281
0.093,218.989
0.094,221.151
0.095,222.54
0.096,222.655
0.097,221.942
0.098,220.757
0.099,219.493
0.1,218.534
0.101,216.388
0.102,214.505
0.103,214.533
0.104,214.62
0.105,211.715
0.106,209.206
0.107,207.473
0.108,206.505
0.109,207.952
0.11,210.006
0.111,213.167
0.112,218.511
0.113,221.349
0.114,224.805
0.115,229.444
0.116,234.664
0.117,239.085
0.118,244.767
0.119,250.398
0.12,256.472
0.121,262.745
0.122,274.764
0.123,278.967
0.124,280.095
0.125,273.158
0.126,266.156
0.127,248.294
0.128,237.9
0.129,226.162
0.13,213.191
0.131,210.546
0.132,204.281
0.133,189.716
0.134,182.198
0.135,179.762
0.136,178.085
0.137,177.177
0.138,173.983
0.139,171.329
0.14,170.091
0.141,167.32
0.142,166.43
0.143,166.801
0.144,169.69
0.145,172.804
0.146,172.962
0.147,172.858
0.148,175.315
0.149,173.27
0.15,173.298
0.151,174.174
0.152,171.833
0.153,168.357
0.154,167.278
0.155,172.099
0.156,171.209
0.157,176.633
0.158,175.125
0.159,174.802
0.16,175.381
0.161,175.651
0.162,175.436
0.163,174.401
0.164,170.448
0.165,174.83
0.166,171.948
0.167,177.984
0.168,178.164
0.169,179.854
0.17,174.876
0.171,174.893
0.172,175.049
0.173,174.99
0.174,178.249
0.175,178.698
0.176,179.147
0.177,176.035
0.178,172.411
0.179,167.573
0.18,167.902
0.181,172.041
0.182,170.44
0.183,173.084
0.184,176.787
0.185,186.553
0.186,201.068
0.187,203.587
0.188,206.606
0.189,209.801
0.19,212.107
0.191,214.643
0.192,218.4
0.193,221.016
0.194,224.495
0.195,225
0.196,225.58
0.197,227.087
0.198,228.807
0.199,231.007
0.2,233.462
0.201,233.56
0.202,232.509
0.203,230.519
0.204,228.683
0.205,228.295
0.206,228.436
0.207,230.672
0.208,234.268
0.209,236.466
0.21,237.927
0.211,237.756
0.212,239.126
0.213,238.725
0.214,239.364
0.215,237.234
0.216,232.864
0.217,227.5
0.218,219.378
0.219,207.369
0.22,198.84
0.221,196.296
0.222,192.294
0.223,192.151
0.224,193.083
0.225,200.241
0.226,204.954
0.227,208.249
0.228,211.421
0.229,214.081
0.23,217.351
0.231,219.832
0.232,222.026
0.233,224.746
0.234,228.856
0.235,234.141
0.236,240.893
0.237,244.022
0.238,247.865
0.239,246.857
0.24,244.85
0.241,237.384
0.242,229.077
0.243,223.582
0.244,216.655
0.245,210.927
0.246,204.699
0.247,200.825
