# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
0,0,0,0,2,0.1343468725,301.243,0.4295843187,0
0.001,-0.26,-0.26,-0.43,6,0.4138963161,300.024,0.407891264,-0.5232495725
0.002,-0.15,-0.15,-0.2,1,0.06672794636,296.896,0.3518202556,-0.4778422152
0.003,-0.07,-0.07,-0.1,4,0.2722904524,294.71,0.3122832894,-0.1710648167
0.004,-0.17,-0.17,-0.28,1,0.06672794636,292.124,0.2651313194,-0.8437311501
0.005,-0.16,-0.16,-0.25,-8,-0.5027319434,288.921,0.2061471665,0.8429293055
0.006,-0.22,-0.22,-0.35,-6,-0.3821161368,284.804,0.1293635922,1.384753616
0.007,-0.11,-0.11,-0.18,-20,-1.160076618,280.607,0.04993690112,0.1621417532
0.008,-0.19,-0.19,-0.3,-31,-1.671363433,274.834,-0.06127801537,0.1731460368
0.009,-0.31,-0.31,-0.5,-39,-1.994806163,264.452,-0.2672932404,0.2210336112
0.01,-0.66,-0.66,-1.09,-44,-2.17839078,248.351,-0.6033625438,0.391839201
0.011,-0.89,-0.89,-1.47,-69,-2.92101419,240.597,-0.7730631179,0.3979342817
0.012,-1.37,-1.37,-2.3,-58,-2.626257331,233.633,-0.9302023899,0.6467105438
0.013,-1.81,-1.81,-3.1,-75,-3.06491739,226.252,-1.101948549,0.7439644196
0.014,-2.08,-2.08,-3.58,-74,-3.041651351,220.56,-1.238264706,0.8364650036
0.015,-2.48,-2.48,-4.34,-95,-3.484859337,215.227,-1.369213883,0.8940944652
0.016,-2.79,-2.79,-4.94,-111,-3.78769495,209.463,-1.514445905,0.9316991259
0.017,-2.96,-2.96,-5.26,-112,-3.80650406,198.63,-1.798548641,0.9384389908
0.018,-3.06,-3.06,-5.46,-123,-4.017536516,186.864,-2.125234183,0.8888497175
0.019,-3.28,-3.28,-5.9,-139,-4.35454177,183.71,-2.216305372,0.8979055322
0.02,-3.26,-3.26,-5.86,-135,-4.265443427,182.796,-2.242989302,0.9003703724
0.021,-3.18,-3.18,-5.69,-137,-4.309512174,182.552,-2.250135366,0.8674246543
0.022,-3.22,-3.22,-5.77,-132,-4.200998453,182.429,-2.253741307,0.8939167518
0.023,-3.33,-3.33,-6,-131,-4.179926178,182.113,-2.26301651,0.9312514934
0.024,-3.3,-3.3,-5.93,-120,-3.958935799,181.969,-2.267248524,0.9524292396
0.025,-3.31,-3.31,-5.95,-121,-3.978357579,182.089,-2.263721613,0.9532080284
0.026,-3.4,-3.4,-6.14,-116,-3.882175334,182.586,-2.249139031,1.001416603
0.027,-3.43,-3.43,-6.18,-108,-3.731397367,181.843,-2.270954284,1.029596458
0.028,-3.25,-3.25,-5.83,-120,-3.958935799,183.793,-2.213888793,0.9444622819
0.029,-3.13,-3.13,-5.6,-103,-3.637508731,184.998,-2.178927132,0.9627889194
0.03,-3.27,-3.27,-5.86,-110,-3.768912929,186.281,-2.141951826,0.9913947015
0.031,-3.26,-3.26,-5.85,-103,-3.637508731,188.223,-2.086466207,1.022017053
0.032,-3.05,-3.05,-5.44,-105,-3.675122268,193.774,-1.930967915,0.9703732589
0.033,-3.11,-3.11,-5.55,-111,-3.78769495,201.629,-1.718375802,1.00797833
0.034,-3.13,-3.13,-5.59,-102,-3.618648331,201.575,-1.719808823,1.047119016
0.035,-3.05,-3.05,-5.44,-103,-3.637508731,200.579,-1.746309173,1.010435363
0.036,-3.19,-3.19,-5.71,-93,-3.445820295,196.528,-1.855466664,1.077096947
0.037,-3.29,-3.29,-5.9,-88,-3.345971234,198.768,-1.79483297,1.147680356
0.038,-3.23,-3.23,-5.79,-69,-2.92101419,202.725,-1.689373421,1.2558597
0.039,-3.33,-3.33,-5.99,-80,-3.177391465,208.933,-1.528000057,1.273007777
0.04,-3.21,-3.21,-5.76,-80,-3.177391465,208.821,-1.530868731,1.223381836
0.041,-3.2,-3.2,-5.73,-72,-2.99428247,208.321,-1.543694106,1.262677298
0.042,-3.15,-3.15,-5.62,-78,-3.133140272,209.334,-1.517741774,1.208372938
0.043,-2.99,-2.99,-5.31,-83,-3.242086103,208.76,-1.532431781,1.112154175
0.044,-3.03,-3.03,-5.4,-86,-3.304958889,211.457,-1.463757034,1.132380307
0.045,-2.98,-2.98,-5.31,-89,-3.366231144,213.354,-1.415975703,1.110366024
0.046,-3.14,-3.14,-5.61,-70,-2.945743207,215.215,-1.369512181,1.300038931
0.047,-3.16,-3.16,-5.65,-69,-2.92101419,213.035,-1.423980836,1.300346713
0.048,-3.07,-3.07,-5.48,-80,-3.177391465,212.989,-1.42513617,1.190650103
0.049,-2.88,-2.88,-5.1,-95,-3.484859337,209.142,-1.522651016,1.018470186
0.05,-2.84,-2.84,-5.03,-77,-3.110653654,205.375,-1.619891925,1.063302301
0.051,-2.72,-2.72,-4.79,-93,-3.445820295,211.129,-1.472062091,0.973996453
0.052,-2.77,-2.77,-4.89,-83,-3.242086103,214.456,-1.388413406,1.056041576
0.053,-2.85,-2.85,-5.04,-77,-3.110653654,216.129,-1.346839292,1.130680421
0.054,-2.76,-2.76,-4.87,-82,-3.220734581,219.349,-1.267720191,1.08500592
0.055,-2.74,-2.74,-4.84,-52,-2.44540255,212.559,-1.435948115,1.246988592
0.056,-2.73,-2.73,-4.82,-74,-3.041651351,226.081,-1.105993578,1.162105263
0.057,-2.78,-2.78,-4.92,-69,-2.92101419,229.92,-1.015909849,1.249706612
0.058,-2.94,-2.94,-5.22,-55,-2.537773694,231.096,-0.9886152922,1.480267781
0.059,-2.99,-2.99,-5.31,-58,-2.626257331,230.309,-1.006865871,1.461552418
0.06,-3.11,-3.11,-5.56,-66,-2.84489123,221.174,-1.223391945,1.366669861
