# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
0,0,0,0,2,0.1343468725,285.157,0.1359905377,0
0.001,-0.26,-0.26,-0.43,6,0.4138963161,284.083,0.1158025438,-0.8117820002
0.002,-0.15,-0.15,-0.2,1,0.06672794636,281.583,0.06851284607,-1.478843745
0.003,-0.07,-0.07,-0.1,4,0.2722904524,279.853,0.03554193116,-0.3248521122
0.004,-0.17,-0.17,-0.28,1,0.06672794636,277.601,-0.007684112761,-4.742239501
0.005,-0.16,-0.16,-0.25,-8,-0.5027319434,274.735,-0.06320552586,0.4417449163
0.006,-0.22,-0.22,-0.35,-6,-0.3821161368,271.106,-0.1343450558,0.6776888661
0.007,-0.11,-0.11,-0.18,-20,-1.160076618,267.58,-0.2043835176,0.131920307
0.008,-0.19,-0.19,-0.3,-31,-1.671363433,262.53,-0.3063182757,0.1516927616
0.009,-0.31,-0.31,-0.5,-39,-1.994806163,253.066,-0.5027437234,0.2001962014
0.01,-0.66,-0.66,-1.09,-44,-2.17839078,237.824,-0.8350826202,0.3617088506
0.011,-0.89,-0.89,-1.47,-69,-2.92101419,230.69,-0.9980226825,0.3750921586
0.012,-1.37,-1.37,-2.3,-58,-2.626257331,224.252,-1.149451214,0.6091571881
0.013,-1.81,-1.81,-3.1,-75,-3.06491739,217.37,-1.316207765,0.7075807903
0.014,-2.08,-2.08,-3.58,-74,-3.041651351,212.095,-1.44763952,0.7974533402
0.015,-2.48,-2.48,-4.34,-95,-3.484859337,207.057,-1.576254429,0.8575187598
0.016,-2.79,-2.79,-4.94,-111,-3.78769495,201.469,-1.722622908,0.8965000073
0.017,-2.96,-2.96,-5.26,-112,-3.80650406,190.974,-2.00883844,0.9045039049
0.018,-3.06,-3.06,-5.46,-123,-4.017536516,179.495,-2.340484623,0.8587577614
0.019,-3.28,-3.28,-5.9,-139,-4.35454177,176.362,-2.434690909,0.8690230957
0.02,-3.26,-3.26,-5.86,-135,-4.265443427,175.471,-2.461788197,0.8710864033
0.021,-3.18,-3.18,-5.69,-137,-4.309512174,175.208,-2.469812917,0.8393165874
0.022,-3.22,-3.22,-5.77,-132,-4.200998453,175.107,-2.472897855,0.8645624287
0.023,-3.33,-3.33,-6,-131,-4.179926178,174.74,-2.48412248,0.9003535701
0.024,-3.3,-3.3,-5.93,-120,-3.958935799,174.59,-2.488716989,0.9197145372
0.025,-3.31,-3.31,-5.95,-121,-3.978357579,174.663,-2.486480502,0.9203633449
0.026,-3.4,-3.4,-6.14,-116,-3.882175334,175.035,-2.475098105,0.9658228578
0.027,-3.43,-3.43,-6.18,-108,-3.731397367,174.23,-2.499759938,0.9917900796
0.028,-3.25,-3.25,-5.83,-120,-3.958935799,176.098,-2.442705437,0.9107039563
0.029,-3.13,-3.13,-5.6,-103,-3.637508731,177.172,-2.410175543,0.9259742648
0.03,-3.27,-3.27,-5.86,-110,-3.768912929,178.377,-2.373911767,0.9539585272
0.031,-3.26,-3.26,-5.85,-103,-3.637508731,180.086,-2.322898305,0.9814765945
0.032,-3.05,-3.05,-5.44,-105,-3.675122268,185.368,-2.168237703,0.9309712268
0.033,-3.11,-3.11,-5.55,-111,-3.78769495,192.91,-1.954875848,0.9664660994
0.034,-3.13,-3.13,-5.59,-102,-3.618648331,192.633,-1.962563449,1.001574608
0.035,-3.05,-3.05,-5.44,-103,-3.637508731,191.642,-1.99015755,0.9666529122
0.036,-3.19,-3.19,-5.71,-93,-3.445820295,187.657,-2.102578276,1.029125779
0.037,-3.29,-3.29,-5.9,-88,-3.345971234,189.73,-2.043802211,1.094665678
0.038,-3.23,-3.23,-5.79,-69,-2.92101419,193.418,-1.940805931,1.190912016
0.039,-3.33,-3.33,-5.99,-80,-3.177391465,199.26,-1.781606759,1.207905252
0.04,-3.21,-3.21,-5.76,-80,-3.177391465,199.08,-1.786441824,1.160393523
0.041,-3.2,-3.2,-5.73,-72,-2.99428247,198.478,-1.802644253,1.194514807
0.042,-3.15,-3.15,-5.62,-78,-3.133140272,199.324,-1.779888677,1.143897188
0.043,-2.99,-2.99,-5.31,-83,-3.242086103,198.781,-1.794483076,1.054289103
0.044,-3.03,-3.03,-5.4,-86,-3.304958889,201.338,-1.726102738,1.073332112
0.045,-2.98,-2.98,-5.31,-89,-3.366231144,203.262,-1.675220496,1.053268062
0.046,-3.14,-3.14,-5.61,-70,-2.945743207,205.135,-1.626147559,1.227063438
0.047,-3.16,-3.16,-5.65,-69,-2.92101419,203.023,-1.681514847,1.227585954
0.048,-3.07,-3.07,-5.48,-80,-3.177391465,202.887,-1.685099878,1.126994294
0.049,-2.88,-2.88,-5.1,-95,-3.484859337,199.118,-1.785420724,0.9676905098
0.05,-2.84,-2.84,-5.03,-77,-3.110653654,195.401,-1.886234822,1.006626429
0.051,-2.72,-2.72,-4.79,-93,-3.445820295,200.943,-1.736609079,0.9242769469
0.052,-2.77,-2.77,-4.89,-83,-3.242086103,204.125,-1.652553809,0.9990520423
0.053,-2.85,-2.85,-5.04,-77,-3.110653654,205.769,-1.609638093,1.067730613
0.054,-2.76,-2.76,-4.87,-82,-3.220734581,208.879,-1.529382976,1.025237785
0.055,-2.74,-2.74,-4.84,-52,-2.44540255,202.194,-1.703405124,1.166600233
0.056,-2.73,-2.73,-4.82,-74,-3.041651351,215.184,-1.370282861,1.092491358
0.057,-2.78,-2.78,-4.92,-69,-2.92101419,218.937,-1.277778466,1.171765411
0.058,-2.94,-2.94,-5.22,-55,-2.537773694,220.038,-1.250941574,1.377775745
0.059,-2.99,-2.99,-5.31,-58,-2.626257331,219.389,-1.266744666,1.363985943
0.06,-3.11,-3.11,-5.56,-66,-2.84489123,210.531,-1.487236886,1.283433881
0.061,-3.07,-3.07,-5.48,-72,-2.99428247,207.389,-1.567682984,1.201236628
0.062,-3.15,-3.15,-5.64,-52,-2.44540255,203.946,-1.657247355,1.374721249
0.063,-3.28,-3.28,-5.88,-52,-2.44540255,202.857,-1.685891018,1.423283024
0.064,-3.14,-3.14,-5.62,-61,-2.71107478,202.829,-1.68662952,1.277939492
0.065,-3.11,-3.11,-5.55,-87,-3.325549881,200.843,-1.739272189,1.095793677
0.066,-3.15,-3.15,-5.63,-70,-2.945743207,198.439,-1.803695606,1.185403207
0.067,-3.01,-3.01,-5.35,-94,-3.465395947,195.89,-1.872862925,1.00219943
0.068,-2.89,-2.89,-5.12,-85,-3.28419006,196.544,-1.85503112,0.996259904
0.069,-2.8,-2.8,-4.95,-84,-3.263235197,193.829,-1.929449608,0.9532640985
0.07,-2.66,-2.66,-4.67,-86,-3.304958889,196.852,-1.846653809,0.9065122464
0.071,-2.51,-2.51,-4.39,-104,-3.656330645,207.211,-1.57227681,0.8396117012
0.072,-2.42,-2.42,-4.22,-101,-3.599741246,206.779,-1.583442301,0.8141714375
0.073,-2.14,-2.14,-3.7,-112,-3.80650406,206.286,-1.596212937,0.6848406093
0.074,-2.01,-2.01,-3.46,-93,-3.445820295,210.872,-1.478578427,0.7026238523
0.075,-1.81,-1.81,-3.1,-84,-3.263235197,211.54,-1.461657492,0.656099557
0.076,-1.75,-1.75,-2.98,-90,-3.386337807,211.379,-1.465730849,0.6141710291
0.077,-1.78,-1.78,-3.04,-88,-3.345971234,211.723,-1.45703129,0.6329374147
0.078,-1.75,-1.75,-2.97,-90,-3.386337807,211.857,-1.453646333,0.6136383744
